ASIN,Manufacturer,ProductDescription
B08YF9VHTY,Safari,Genie Flamenco2 Casual Backpacks for Women
B084JGJ8PF,,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black)
B07CJCGM1M,,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK)
B07M9BRCQ5,No,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
B0C8NSJ4RD,,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)"
B0C8NSJ4RD,,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)"
B0BWWD1QQQ,Dyazo,Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange)
B09W43XLBY,,"Amazon Basics Water Repellent and Wear Resistant Laptop Backpack - 24L, Blue"
B09W4WJ1CB,,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric
B09SB5DP5Y,,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent"
B08HTR6LSK,Amazon Brand - Symbol,Amazon Brand - Symbol Women Handbag Navy
B08TDCD79P,Presto!,"Presto! Oxo-Biodegradable Garbage Bags, Small (17 x 19 inches) - 30 bags/roll (Pack of 3, Black)"
B0821PYKVK,"SINAR INDAH PULP & PAPER PVT LTD Plot No: 122 B, Sec-6, HSIIDC, IGC,Bawal-123501, Distt - Rewari(HR)","Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)"
B08R7RPVJF,,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps"
B09VCLZ3K4,Amazing Bags,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover
B097JH4V5G,Safari,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal"
B098QFF5TJ,Wesley,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
B07CGLDV2C,No,American Tourister Casual Backpack
B088XB5XY8,,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)"
B07MXL986B,ADISA,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women
B0CJHL12N9,,Impulse Belux 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty
B0BJ32LQ6X,Amazing Bags,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover
B09VTDMRY7,FUR JADEN,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls"
B07KT9Q54M,,Shalimar Premium OXO - Biodegradable Garbage Bags (Medium) Size 19 x 21 Inches 4 Rolls 120 Bags Dustbin Bag/Trash Bag - Black Color
B07G4F6XFH,Gear Merchandise PVT LTD,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown
B085S444JV,,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black"
B0BTJ2T26W,Gear Merchandise Pvt Ltd,Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan)
B0BTJ2VV17,Gear Merchandise Pvt Ltd,Gear LOGI-Q 27L Medium Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with Trolley Sleevefor Men/Women (Black-White)
B09CGDFNBV,,"DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey, 25 x 10 x 20 CM)"
B08TTMMGYT,Srinivasa Textiles,"Amazon Brand – Eono Reusable Tote Bags, 100% Organic Cotton Shopping/Grocery Bag, Multi-Purpose Bag, Sturdy Canvas Bag With 15kgs Capacity, Single Pack (Good Vibes)"
B07NJGW3WX,,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue)
B097L2RSF1,Safari,Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLU_Blue)
B07GXX2BP3,No,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black
B078JNB821,ADISA,ADISA women girls quilted checks crossbody box sling bag with gold chain
B0C8649NY8,"IFF, INDIA",American Tourister Shaw Large Size Unisex Laptop Backpack with Organizer Pockets| Compatible with 17 inch Laptop - Teal
B078MFYJ3M,Cosmus,COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment
B0BRJRVH6D,Martucci,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack
B0BYSZ3TKW,FUR JADEN,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls"
B08X2KR6T9,No,"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty"
B078GR3YHR,No,Skybags Mint 55 cms Small Cabin Polycarbonate Hardsided 4 Spinner Wheels Luggage/Suitcase/Trolley Bag- Turquoise Blue
B0C4L2KX2W,,"Amazon Basics Laptop Bag with USB Charging Port, Rain Cover and Reflective Strip for College, Office, Travel (Unisex, 35 L, Blue)"
B0B12WH5ND,Encon Impex Pvt Ltd,Red Lemon BANGE Waterproof TPU Unisex Travel Crossbody Sling Bag Chest Pack with USB charging
B0CHYMQN9Y,Gear Merchandise PVT LTD,Gear Elevate Faux Leather 20L Water Resistant Anti-Theft Laptop Bag/Backpack/Office Bag with RainCover for Men/Women (Pink)
B0BVRJYD9Q,ADISA,ADISA 32L large laptop backpack office bag college travel back pack with rain cover
B08GLXK8MN,,"5 Pack Smart Saver Vacuum Bags for Travel, Space Saver Bags (1 Large/2 Medium/2 Small) Compression Storage Bags for Clothes, Bedding, Pillows, Comforters, Blankets Storage Vacuum Sealer Bags for Clothes Storage, Vaccine Sealed Compression Airtight Reusable Packing Ziplock Bag with Travelling Hand Pump"
B0BHJ9WMZK,"SWISS MILITARY CONSUMER GOODS LIMITED; W-39, OKHLA INDUSTRIAL AREA PHASE-2, NEW DELHI - 110020",Swiss Military Laptop Soft Roller Case Cum Backpack | 23-Liter Trolley Bag with Rain Cover | Quick Access Pockets | Model: LTB5A
B0CGP32XKK,‎Tabelito Trade India,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook"
B0BW3QZBQH,,"Lifelong LLGB02 Gym Bag|Unisex Gym Bags|Adjustable Shoulder Bag for Men|Duffle Gym Bags for Men|Carry Gym Accessories|Fitness Bag|Sports &Travel Bag|Gym kit Bag (Black, 6 Months Warranty)"
B0CH55DYPF,,Okami Zenpack Cargo Laptop Messenger Bag X Briefcase - DUAL USB with type-C port for Fast-Charging (Osaka Blue)
B0BZYXT8Q7,PALAY,"PALAY® Tote Bag Corduroy Solid Color Hand Bag for Women Shoulder Bag for Shopping, Commuting, Shopping Bag, Large Grocery Bag"
B07G4D13LB,,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women-Black
B0C8NT6GMJ,,"amazon basics Laptop Bag/Office/College Backpack for 15.6 inch laptop, Anti-Theft Design, USB Charging Port (18 L)"
B097JJ64SH,Safari,"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres"
B01G5I8VDS,No,Wildcraft 45 Ltrs Black Rucksack (8903338073840) (Extra Large Size)
B0BYDWD4VL,,HP 330 15.6-inch Laptop Backpack/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/1 Year Limited Warranty (793A7AA)
B07PQQ8M7B,No,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty"
B0BRNP6M1D,M/s JD Fresh,"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)"
